,vehicle,country,year,zero_emission_vehicles_percentage
86,"Buses, motor coaches, and trolley buses",Greece,2020,0.0
87,"Buses, motor coaches, and trolley buses",Greece,2021,0.0
88,"Buses, motor coaches, and trolley buses",Greece,2022,0.383
89,"Buses, motor coaches, and trolley buses",Greece,2023,2.692
90,"Buses, motor coaches, and trolley buses",Spain,2014,0.52
91,"Buses, motor coaches, and trolley buses",Spain,2015,0.657
92,"Buses, motor coaches, and trolley buses",Spain,2016,0.308
93,"Buses, motor coaches, and trolley buses",Spain,2017,0.417
94,"Buses, motor coaches, and trolley buses",Spain,2018,0.593
95,"Buses, motor coaches, and trolley buses",Spain,2019,2.093
96,"Buses, motor coaches, and trolley buses",Spain,2020,1.841
97,"Buses, motor coaches, and trolley buses",Spain,2021,6.711
98,"Buses, motor coaches, and trolley buses",Spain,2022,6.078
99,"Buses, motor coaches, and trolley buses",Spain,2023,16.188
100,"Buses, motor coaches, and trolley buses",Finland,2014,0.0
101,"Buses, motor coaches, and trolley buses",Finland,2015,0.0
102,"Buses, motor coaches, and trolley buses",Finland,2016,1.706
103,"Buses, motor coaches, and trolley buses",Finland,2017,1.75
104,"Buses, motor coaches, and trolley buses",Finland,2018,0.21
105,"Buses, motor coaches, and trolley buses",Finland,2019,6.745
106,"Buses, motor coaches, and trolley buses",Finland,2020,8.802
107,"Buses, motor coaches, and trolley buses",Finland,2021,50.0
108,"Buses, motor coaches, and trolley buses",Finland,2022,66.906
109,"Buses, motor coaches, and trolley buses",Finland,2023,42.57
110,"Buses, motor coaches, and trolley buses",France,2014,0.729
111,"Buses, motor coaches, and trolley buses",France,2015,0.694
112,"Buses, motor coaches, and trolley buses",France,2016,1.213
113,"Buses, motor coaches, and trolley buses",France,2017,1.565
114,"Buses, motor coaches, and trolley buses",France,2018,1.421
115,"Buses, motor coaches, and trolley buses",France,2019,3.988
116,"Buses, motor coaches, and trolley buses",France,2020,2.812
117,"Buses, motor coaches, and trolley buses",France,2021,8.63
118,"Buses, motor coaches, and trolley buses",France,2022,12.79
119,"Buses, motor coaches, and trolley buses",France,2023,12.065
120,"Buses, motor coaches, and trolley buses",Croatia,2014,0.0
121,"Buses, motor coaches, and trolley buses",Croatia,2015,0.414
122,"Buses, motor coaches, and trolley buses",Croatia,2016,0.176
123,"Buses, motor coaches, and trolley buses",Croatia,2017,0.0
124,"Buses, motor coaches, and trolley buses",Croatia,2018,0.0
125,"Buses, motor coaches, and trolley buses",Croatia,2019,0.0
126,"Buses, motor coaches, and trolley buses",Croatia,2020,0.0
127,"Buses, motor coaches, and trolley buses",Croatia,2021,1.315
128,"Buses, motor coaches, and trolley buses",Croatia,2022,0.452
129,"Buses, motor coaches, and trolley buses",Croatia,2023,1.315
130,"Buses, motor coaches, and trolley buses",Hungary,2014,0.19
131,"Buses, motor coaches, and trolley buses",Hungary,2015,3.2
132,"Buses, motor coaches, and trolley buses",Hungary,2016,0.409
133,"Buses, motor coaches, and trolley buses",Hungary,2017,0.0
134,"Buses, motor coaches, and trolley buses",Hungary,2018,0.131
135,"Buses, motor coaches, and trolley buses",Hungary,2019,0.0
136,"Buses, motor coaches, and trolley buses",Hungary,2020,3.142
137,"Buses, motor coaches, and trolley buses",Hungary,2021,4.327
138,"Buses, motor coaches, and trolley buses",Hungary,2022,5.729
139,"Buses, motor coaches, and trolley buses",Hungary,2023,7.1
140,"Buses, motor coaches, and trolley buses",Ireland,2014,0.0
141,"Buses, motor coaches, and trolley buses",Ireland,2015,0.0
142,"Buses, motor coaches, and trolley buses",Ireland,2016,0.0
143,"Buses, motor coaches, and trolley buses",Ireland,2017,0.0
144,"Buses, motor coaches, and trolley buses",Ireland,2018,0.0
145,"Buses, motor coaches, and trolley buses",Ireland,2019,0.0
146,"Buses, motor coaches, and trolley buses",Ireland,2020,1.123
147,"Buses, motor coaches, and trolley buses",Ireland,2021,0.584
148,"Buses, motor coaches, and trolley buses",Ireland,2022,4.796
149,"Buses, motor coaches, and trolley buses",Ireland,2023,12.663
150,"Buses, motor coaches, and trolley buses",Italy,2014,0.0
151,"Buses, motor coaches, and trolley buses",Italy,2015,0.242
152,"Buses, motor coaches, and trolley buses",Italy,2016,0.889
153,"Buses, motor coaches, and trolley buses",Italy,2017,0.851
154,"Buses, motor coaches, and trolley buses",Italy,2018,1.348
155,"Buses, motor coaches, and trolley buses",Italy,2019,1.553
156,"Buses, motor coaches, and trolley buses",Italy,2020,0.81
157,"Buses, motor coaches, and trolley buses",Italy,2021,6.648
158,"Buses, motor coaches, and trolley buses",Italy,2022,2.954
159,"Buses, motor coaches, and trolley buses",Italy,2023,8.711
160,"Buses, motor coaches, and trolley buses",Lithuania,2014,0.0
161,"Buses, motor coaches, and trolley buses",Lithuania,2015,0.0
162,"Buses, motor coaches, and trolley buses",Lithuania,2016,0.0
163,"Buses, motor coaches, and trolley buses",Lithuania,2017,0.0
164,"Buses, motor coaches, and trolley buses",Lithuania,2018,1.796
165,"Buses, motor coaches, and trolley buses",Lithuania,2019,1.604
166,"Buses, motor coaches, and trolley buses",Lithuania,2020,2.215
167,"Buses, motor coaches, and trolley buses",Lithuania,2021,2.054
168,"Buses, motor coaches, and trolley buses",Lithuania,2022,38.392
169,"Buses, motor coaches, and trolley buses",Lithuania,2023,25.367
170,"Buses, motor coaches, and trolley buses",Luxembourg,2014,0.0
171,"Buses, motor coaches, and trolley buses",Luxembourg,2015,0.0
172,"Buses, motor coaches, and trolley buses",Luxembourg,2016,0.487
173,"Buses, motor coaches, and trolley buses",Luxembourg,2017,3.347
174,"Buses, motor coaches, and trolley buses",Luxembourg,2018,8.256
175,"Buses, motor coaches, and trolley buses",Luxembourg,2019,25.641
176,"Buses, motor coaches, and trolley buses",Luxembourg,2020,14.953
177,"Buses, motor coaches, and trolley buses",Luxembourg,2021,17.365
178,"Buses, motor coaches, and trolley buses",Luxembourg,2022,45.847
179,"Buses, motor coaches, and trolley buses",Luxembourg,2023,32.786
180,"Buses, motor coaches, and trolley buses",Latvia,2014,0.0
