,source,target,value,year
1078,18,24,,2022
1079,18,25,8.33,2022
1080,18,27,0.0,2022
1081,18,28,1.65,2022
1082,18,26,0.0,2022
1083,18,23,0.0,2022
1084,18,29,0.06,2023
1085,18,21,0.0,2023
1086,18,19,3.94,2023
1087,18,22,1.07,2023
1088,18,20,0.03,2023
1089,18,24,,2023
1090,18,25,8.15,2023
1091,18,27,0.0,2023
1092,18,28,1.74,2023
1093,18,26,0.0,2023
1094,18,23,0.0,2023
1095,7,29,0.44,2014
1096,7,21,0.08,2014
1097,7,19,19.51,2014
1098,7,22,14.3,2014
1099,7,20,0.0,2014
1100,7,24,,2014
1101,7,25,35.24,2014
1102,7,27,0.0,2014
1103,7,28,5.4,2014
1104,7,26,0.0,2014
1105,7,23,0.17,2014
1106,7,29,0.43,2015
1107,7,21,0.08,2015
1108,7,19,19.95,2015
1109,7,22,13.64,2015
1110,7,20,0.0,2015
1111,7,24,,2015
1112,7,25,36.72,2015
1113,7,27,0.0,2015
1114,7,28,5.68,2015
1115,7,26,0.0,2015
1116,7,23,0.16,2015
1117,7,29,0.41,2016
1118,7,21,0.1,2016
1119,7,19,19.99,2016
1120,7,22,14.11,2016
1121,7,20,0.0,2016
1122,7,24,,2016
1123,7,25,37.95,2016
1124,7,27,0.0,2016
1125,7,28,5.61,2016
1126,7,26,0.0,2016
1127,7,23,0.21,2016
1128,7,29,0.48,2017
1129,7,21,0.09,2017
1130,7,19,20.56,2017
1131,7,22,14.29,2017
1132,7,20,0.0,2017
1133,7,24,,2017
1134,7,25,38.81,2017
1135,7,27,0.0,2017
1136,7,28,5.97,2017
1137,7,26,0.0,2017
1138,7,23,0.22,2017
1139,7,29,0.48,2018
1140,7,21,0.08,2018
1141,7,19,20.5,2018
1142,7,22,14.91,2018
1143,7,20,0.0,2018
1144,7,24,,2018
1145,7,25,39.54,2018
1146,7,27,0.0,2018
1147,7,28,6.53,2018
1148,7,26,0.0,2018
1149,7,23,0.23,2018
1150,7,29,0.37,2019
1151,7,21,0.07,2019
1152,7,19,20.17,2019
1153,7,22,15.15,2019
1154,7,20,0.0,2019
1155,7,24,,2019
1156,7,25,39.48,2019
1157,7,27,0.0,2019
1158,7,28,6.74,2019
1159,7,26,0.0,2019
1160,7,23,0.22,2019
1161,7,29,0.34,2020
1162,7,21,0.05,2020
1163,7,19,18.89,2020
1164,7,22,14.61,2020
1165,7,20,0.0,2020
1166,7,24,,2020
1167,7,25,32.56,2020
1168,7,27,0.0,2020
1169,7,28,6.47,2020
1170,7,26,0.0,2020
1171,7,23,0.19,2020
1172,7,29,0.39,2021
1173,7,21,0.09,2021
1174,7,19,19.59,2021
1175,7,22,15.52,2021
1176,7,20,0.0,2021
1177,7,24,,2021
1178,7,25,36.78,2021
1179,7,27,0.0,2021
1180,7,28,6.64,2021
1181,7,26,0.0,2021
1182,7,23,0.21,2021
1183,7,29,0.43,2022
1184,7,21,0.09,2022
1185,7,19,19.29,2022
1186,7,22,13.22,2022
1187,7,20,0.0,2022
1188,7,24,,2022
1189,7,25,38.53,2022
1190,7,27,0.0,2022
1191,7,28,6.87,2022
1192,7,26,0.0,2022
1193,7,23,0.21,2022
1194,7,29,0.37,2023
1195,7,21,0.08,2023
1196,7,19,19.15,2023
1197,7,22,12.85,2023
1198,7,20,0.0,2023
1199,7,24,,2023
1200,7,25,37.14,2023
1201,7,27,0.0,2023
1202,7,28,7.85,2023
1203,7,26,0.0,2023
1204,7,23,0.21,2023
1205,14,29,0.11,2014
1206,14,21,0.12,2014
1207,14,19,6.81,2014
1208,14,22,0.67,2014
1209,14,20,3.98,2014
1210,14,24,,2014
1211,14,25,6.02,2014
1212,14,27,0.24,2014
1213,14,28,5.41,2014
1214,14,26,0.0,2014
1215,14,23,0.06,2014
1216,15,29,0.11,2015
1217,15,21,0.13,2015
1218,15,19,6.75,2015
1219,15,22,0.62,2015
1220,15,20,3.83,2015
1221,15,24,,2015
1222,15,25,5.95,2015
1223,15,27,0.22,2015
1224,15,28,5.38,2015
1225,15,26,0.0,2015
1226,15,23,0.05,2015
1227,15,29,0.14,2016
1228,15,21,0.14,2016
1229,15,19,6.96,2016
1230,15,22,0.6,2016
1231,15,20,4.11,2016
1232,15,24,,2016
1233,15,25,6.39,2016
1234,15,27,0.21,2016
1235,15,28,5.41,2016
1236,15,26,0.0,2016
1237,15,23,0.05,2016
1238,15,29,0.14,2017
1239,15,21,0.12,2017
1240,15,19,6.97,2017
1241,15,22,0.66,2017
1242,15,20,4.03,2017
1243,15,24,,2017
1244,15,25,6.13,2017
1245,15,27,0.2,2017
1246,15,28,6.38,2017
1247,15,26,0.0,2017
1248,15,23,0.05,2017
1249,14,29,0.13,2018
1250,14,21,0.14,2018
1251,14,19,7.12,2018
1252,14,22,0.63,2018
1253,14,20,4.01,2018
1254,14,24,,2018
1255,14,25,6.13,2018
1256,14,27,0.22,2018
1257,14,28,6.59,2018
1258,14,26,0.0,2018
1259,14,23,0.05,2018
1260,14,29,0.12,2019
1261,14,21,0.14,2019
1262,14,19,6.99,2019
1263,14,22,0.71,2019
1264,14,20,3.92,2019
1265,14,24,,2019
1266,14,25,5.93,2019
1267,14,27,0.21,2019
1268,14,28,6.75,2019
1269,14,26,0.0,2019
1270,14,23,0.05,2019
1271,16,29,0.11,2020
1272,16,21,0.13,2020
1273,16,19,6.61,2020
1274,16,22,0.7,2020
1275,16,20,3.63,2020
1276,16,24,,2020
1277,16,25,5.59,2020
1278,16,27,0.15,2020
1279,16,28,6.28,2020
1280,16,26,0.0,2020
1281,16,23,0.05,2020
1282,15,29,0.12,2021
1283,15,21,0.14,2021
1284,15,19,7.06,2021
1285,15,22,0.77,2021
1286,15,20,4.13,2021
1287,15,24,,2021
1288,15,25,5.31,2021
1289,15,27,0.14,2021
1290,15,28,7.08,2021
1291,15,26,0.0,2021
1292,15,23,0.05,2021
1293,15,29,0.11,2022
1294,15,21,0.13,2022
1295,15,19,6.61,2022
1296,15,22,0.62,2022
1297,15,20,3.92,2022
1298,15,24,,2022
1299,15,25,5.26,2022
1300,15,27,0.1,2022
1301,15,28,6.35,2022
1302,15,26,0.0,2022
1303,15,23,0.06,2022
1304,15,29,0.06,2023
1305,15,21,0.12,2023
1306,15,19,6.38,2023
1307,15,22,0.55,2023
1308,15,20,3.89,2023
1309,15,24,,2023
1310,15,25,4.91,2023
1311,15,27,0.08,2023
1312,15,28,6.42,2023
1313,15,26,0.0,2023
1314,15,23,0.05,2023
1315,5,29,1.05,2014
1316,5,21,0.0,2014
1317,5,19,36.58,2014
1318,5,22,27.93,2014
1319,5,20,2.78,2014
1320,5,24,,2014
1321,5,25,56.79,2014
1322,5,27,0.0,2014
1323,5,28,12.72,2014
1324,5,26,0.0,2014
1325,5,23,0.43,2014
1326,5,29,1.11,2015
1327,5,21,0.0,2015
1328,5,19,37.41,2015
1329,5,22,28.66,2015
1330,5,20,3.1,2015
1331,5,24,,2015
1332,5,25,57.34,2015
1333,5,27,0.0,2015
1334,5,28,13.55,2015
1335,5,26,0.0,2015
1336,5,23,0.4,2015
1337,5,29,1.08,2016
1338,5,21,0.0,2016
1339,5,19,38.07,2016
1340,5,22,30.06,2016
1341,5,20,3.46,2016
1342,5,24,,2016
1343,5,25,56.55,2016
1344,5,27,0.0,2016
1345,5,28,14.6,2016
1346,5,26,0.0,2016
1347,5,23,0.46,2016
1348,5,29,1.12,2017
1349,5,21,0.0,2017
1350,5,19,37.78,2017
1351,5,22,29.26,2017
1352,5,20,3.59,2017
1353,5,24,,2017
1354,5,25,56.53,2017
1355,5,27,0.0,2017
1356,5,28,14.57,2017
1357,5,26,0.0,2017
1358,5,23,0.4,2017
1359,5,29,1.16,2018
1360,5,21,0.0,2018
1361,5,19,37.58,2018
1362,5,22,28.78,2018
1363,5,20,3.53,2018
1364,5,24,,2018
1365,5,25,55.08,2018
1366,5,27,0.0,2018
1367,5,28,14.79,2018
1368,5,26,0.0,2018
1369,5,23,0.43,2018
1370,5,29,0.95,2019
1371,5,21,0.0,2019
1372,5,19,37.12,2019
1373,5,22,28.26,2019
1374,5,20,3.71,2019
1375,5,24,,2019
1376,5,25,54.41,2019
1377,5,27,0.0,2019
1378,5,28,15.24,2019
1379,5,26,0.0,2019
1380,5,23,0.45,2019
1381,5,29,0.84,2020
1382,5,21,0.0,2020
1383,5,19,35.37,2020
1384,5,22,26.47,2020
1385,5,20,3.59,2020
1386,5,24,,2020
1387,5,25,47.6,2020
1388,5,27,0.0,2020
1389,5,28,14.14,2020
1390,5,26,0.0,2020
1391,5,23,0.38,2020
1392,5,29,0.97,2021
1393,5,21,0.0,2021
1394,5,19,37.22,2021
1395,5,22,28.86,2021
1396,5,20,4.13,2021
1397,5,24,,2021
1398,5,25,52.47,2021
1399,5,27,0.0,2021
1400,5,28,16.14,2021
1401,5,26,0.0,2021
1402,5,23,0.48,2021
1403,5,29,0.7,2022
1404,5,21,0.0,2022
1405,5,19,35.68,2022
1406,5,22,24.69,2022
1407,5,20,3.96,2022
1408,5,24,,2022
1409,5,25,52.65,2022
1410,5,27,0.0,2022
1411,5,28,15.92,2022
1412,5,26,0.0,2022
1413,5,23,0.53,2022
1414,5,29,0.58,2023
1415,5,21,0.0,2023
1416,5,19,34.35,2023
1417,5,22,22.61,2023
1418,5,20,3.59,2023
1419,5,24,,2023
1420,5,25,50.53,2023
1421,5,27,0.0,2023
1422,5,28,16.65,2023
1423,5,26,0.0,2023
1424,5,23,0.49,2023
1425,17,29,0.16,2014
1426,17,21,0.05,2014
1427,17,19,2.99,2014
1428,17,22,5.0,2014
1429,17,20,0.91,2014
1430,17,24,,2014
1431,17,25,4.55,2014
1432,17,27,0.0,2014
1433,17,28,2.07,2014
1434,17,26,0.0,2014
1435,17,23,0.05,2014
1436,17,29,0.18,2015
1437,17,21,0.06,2015
1438,17,19,3.12,2015
1439,17,22,5.29,2015
1440,17,20,0.98,2015
1441,17,24,,2015
1442,17,25,4.96,2015
1443,17,27,0.0,2015
1444,17,28,2.18,2015
1445,17,26,0.0,2015
1446,17,23,0.06,2015
1447,17,29,0.2,2016
1448,17,21,0.03,2016
1449,17,19,3.19,2016
1450,17,22,5.54,2016
1451,17,20,1.06,2016
1452,17,24,,2016
1453,17,25,5.02,2016
1454,17,27,0.0,2016
1455,17,28,2.16,2016
1456,17,26,0.0,2016
1457,17,23,0.06,2016
1458,17,29,0.29,2017
1459,17,21,0.04,2017
1460,17,19,3.31,2017
1461,17,22,5.71,2017
1462,17,20,1.05,2017
1463,17,24,,2017
1464,17,25,5.3,2017
1465,17,27,0.0,2017
1466,17,28,2.09,2017
1467,17,26,0.0,2017
1468,17,23,0.08,2017
1469,17,29,0.23,2018
1470,17,21,0.03,2018
1471,17,19,3.39,2018
1472,17,22,5.57,2018
1473,17,20,0.98,2018
1474,17,24,,2018
1475,17,25,5.66,2018
1476,17,27,0.0,2018
1477,17,28,1.89,2018
1478,17,26,0.0,2018
1479,17,23,0.1,2018
1480,17,29,0.18,2019
1481,17,21,0.03,2019
1482,17,19,3.46,2019
1483,17,22,5.48,2019
1484,17,20,0.98,2019
1485,17,24,,2019
1486,17,25,5.87,2019
1487,17,27,0.0,2019
1488,17,28,1.85,2019
1489,17,26,0.0,2019
1490,17,23,0.12,2019
1491,17,29,0.16,2020
1492,17,21,0.02,2020
1493,17,19,3.44,2020
1494,17,22,5.69,2020
1495,17,20,0.99,2020
1496,17,24,,2020
1497,17,25,5.27,2020
1498,17,27,0.0,2020
1499,17,28,1.92,2020
1500,17,26,0.0,2020
1501,17,23,0.12,2020
1502,16,29,0.12,2021
1503,16,21,0.04,2021
1504,16,19,3.59,2021
1505,16,22,6.08,2021
1506,16,20,1.06,2021
1507,16,24,,2021
1508,16,25,5.71,2021
1509,16,27,0.0,2021
1510,16,28,2.05,2021
1511,16,26,0.0,2021
1512,16,23,0.14,2021
1513,16,29,0.12,2022
1514,16,21,0.01,2022
1515,16,19,3.55,2022
1516,16,22,5.2,2022
1517,16,20,0.96,2022
1518,16,24,,2022
1519,16,25,5.92,2022
1520,16,27,0.0,2022
1521,16,28,2.07,2022
1522,16,26,0.0,2022
1523,16,23,0.11,2022
1524,16,29,0.08,2023
1525,16,21,0.0,2023
1526,16,19,3.45,2023
1527,16,22,4.51,2023
1528,16,20,0.86,2023
1529,16,24,,2023
1530,16,25,5.5,2023
1531,16,27,0.0,2023
1532,16,28,2.04,2023
1533,16,26,0.0,2023
1534,16,23,0.09,2023
1535,6,29,0.74,2014
1536,6,21,0.28,2014
1537,6,19,24.2,2014
1538,6,22,30.9,2014
1539,6,20,3.75,2014
1540,6,24,,2014
1541,6,25,41.25,2014
1542,6,27,0.0,2014
1543,6,28,7.45,2014
1544,6,26,0.0,2014
1545,6,23,0.27,2014
1546,6,29,0.54,2015
1547,6,21,0.21,2015
1548,6,19,24.72,2015
1549,6,22,32.98,2015
1550,6,20,3.85,2015
1551,6,24,,2015
1552,6,25,41.17,2015
1553,6,27,0.0,2015
1554,6,28,8.36,2015
1555,6,26,0.0,2015
1556,6,23,0.27,2015
1557,6,29,0.69,2016
1558,6,21,0.23,2016
1559,6,19,24.59,2016
1560,6,22,33.24,2016
1561,6,20,3.95,2016
1562,6,24,,2016
1563,6,25,40.53,2016
1564,6,27,0.0,2016
1565,6,28,8.04,2016
1566,6,26,0.0,2016
1567,6,23,0.28,2016
1568,6,29,0.49,2017
1569,6,21,0.16,2017
1570,6,19,25.1,2017
1571,6,22,33.92,2017
1572,6,20,4.11,2017
1573,6,24,,2017
1574,6,25,38.27,2017
1575,6,27,0.0,2017
1576,6,28,11.31,2017
1577,6,26,0.0,2017
1578,6,23,0.25,2017
1579,6,29,0.62,2018
1580,6,21,0.13,2018
1581,6,19,25.2,2018
1582,6,22,33.63,2018
1583,6,20,4.1,2018
1584,6,24,,2018
1585,6,25,39.4,2018
1586,6,27,0.0,2018
1587,6,28,10.96,2018
1588,6,26,0.0,2018
1589,6,23,0.25,2018
1590,6,29,0.6,2019
1591,6,21,0.11,2019
1592,6,19,25.1,2019
1593,6,22,33.04,2019
1594,6,20,4.15,2019
1595,6,24,,2019
1596,6,25,38.92,2019
1597,6,27,0.0,2019
1598,6,28,10.91,2019
1599,6,26,0.0,2019
1600,6,23,0.28,2019
1601,6,29,0.41,2020
1602,6,21,0.1,2020
1603,6,19,23.66,2020
1604,6,22,31.81,2020
1605,6,20,3.88,2020
1606,6,24,,2020
1607,6,25,32.23,2020
1608,6,27,0.0,2020
1609,6,28,10.66,2020
1610,6,26,0.0,2020
1611,6,23,0.31,2020
1612,6,29,0.3,2021
1613,6,21,0.1,2021
1614,6,19,25.12,2021
1615,6,22,36.59,2021
1616,6,20,1.55,2021
1617,6,24,,2021
1618,6,25,38.91,2021
1619,6,27,0.0,2021
1620,6,28,11.87,2021
1621,6,26,0.0,2021
1622,6,23,0.29,2021
1623,6,29,0.31,2022
1624,6,21,0.09,2022
1625,6,19,24.68,2022
1626,6,22,31.57,2022
1627,6,20,1.49,2022
1628,6,24,,2022
1629,6,25,40.99,2022
1630,6,27,0.0,2022
1631,6,28,11.35,2022
1632,6,26,0.0,2022
1633,6,23,0.3,2022
1634,6,29,0.3,2023
1635,6,21,0.06,2023
1636,6,19,23.98,2023
1637,6,22,29.47,2023
1638,6,20,1.43,2023
1639,6,24,,2023
1640,6,25,41.49,2023
1641,6,27,0.0,2023
1642,6,28,11.42,2023
1643,6,26,0.0,2023
1644,6,23,0.31,2023
1645,10,29,0.08,2014
1646,10,21,0.2,2014
1647,10,19,8.73,2014
1648,10,22,15.99,2014
1649,10,20,2.61,2014
1650,10,24,,2014
1651,10,25,13.38,2014
1652,10,27,0.0,2014
1653,10,28,1.31,2014
1654,10,26,0.0,2014
1655,10,23,0.04,2014
1656,10,29,0.19,2015
1657,10,21,0.22,2015
1658,10,19,8.91,2015
1659,10,22,16.96,2015
1660,10,20,2.27,2015
1661,10,24,,2015
1662,10,25,13.5,2015
1663,10,27,0.0,2015
1664,10,28,1.3,2015
1665,10,26,0.0,2015
1666,10,23,0.05,2015
1667,10,29,0.24,2016
1668,10,21,0.22,2016
1669,10,19,8.99,2016
1670,10,22,17.51,2016
1671,10,20,2.2,2016
1672,10,24,,2016
1673,10,25,13.85,2016
1674,10,27,0.0,2016
1675,10,28,1.27,2016
1676,10,26,0.0,2016
1677,10,23,0.06,2016
1678,10,29,0.25,2017
1679,10,21,0.24,2017
1680,10,19,9.08,2017
1681,10,22,17.37,2017
1682,10,20,2.09,2017
1683,10,24,,2017
1684,10,25,14.02,2017
1685,10,27,0.0,2017
1686,10,28,1.42,2017
1687,10,26,0.0,2017
1688,10,23,0.06,2017
1689,10,29,0.24,2018
1690,10,21,0.21,2018
1691,10,19,9.26,2018
1692,10,22,17.22,2018
1693,10,20,2.0,2018
1694,10,24,,2018
1695,10,25,14.09,2018
1696,10,27,0.0,2018
1697,10,28,1.77,2018
1698,10,26,0.0,2018
1699,10,23,0.06,2018
1700,10,29,0.21,2019
1701,10,21,0.18,2019
1702,10,19,9.24,2019
1703,10,22,16.65,2019
1704,10,20,2.08,2019
1705,10,24,,2019
1706,10,25,13.67,2019
1707,10,27,0.0,2019
1708,10,28,1.99,2019
1709,10,26,0.0,2019
1710,10,23,0.06,2019
1711,10,29,0.17,2020
1712,10,21,0.19,2020
1713,10,19,9.14,2020
1714,10,22,15.93,2020
1715,10,20,1.9,2020
1716,10,24,,2020
1717,10,25,12.5,2020
1718,10,27,0.0,2020
1719,10,28,1.99,2020
1720,10,26,0.0,2020
1721,10,23,0.05,2020
1722,9,29,0.14,2021
1723,9,21,0.22,2021
1724,9,19,9.22,2021
1725,9,22,17.15,2021
1726,9,20,2.01,2021
1727,9,24,,2021
1728,9,25,12.35,2021
1729,9,27,0.0,2021
1730,9,28,2.14,2021
1731,9,26,0.0,2021
1732,9,23,0.04,2021
1733,9,29,0.12,2022
1734,9,21,0.3,2022
1735,9,19,8.92,2022
1736,9,22,13.87,2022
1737,9,20,1.85,2022
1738,9,24,,2022
1739,9,25,12.12,2022
1740,9,27,0.0,2022
1741,9,28,2.16,2022
1742,9,26,0.0,2022
1743,9,23,0.04,2022
1744,9,29,0.1,2023
1745,9,21,0.27,2023
1746,9,19,8.75,2023
1747,9,22,12.74,2023
1748,9,20,1.64,2023
1749,9,24,,2023
1750,9,25,12.46,2023
1751,9,27,0.0,2023
1752,9,28,2.18,2023
1753,9,26,0.0,2023
1754,9,23,0.05,2023
1755,8,29,11.15,2014
1756,8,21,0.6,2014
1757,8,19,10.78,2014
1758,8,22,8.35,2014
1759,8,20,5.45,2014
1760,8,24,,2014
1761,8,25,17.98,2014
1762,8,27,0.0,2014
1763,8,28,5.41,2014
1764,8,26,0.0,2014
1765,8,23,0.5,2014
1766,8,29,10.73,2015
1767,8,21,0.49,2015
1768,8,19,10.99,2015
1769,8,22,8.49,2015
1770,8,20,5.46,2015
1771,8,24,,2015
1772,8,25,18.65,2015
1773,8,27,0.0,2015
1774,8,28,5.57,2015
1775,8,26,0.0,2015
1776,8,23,0.49,2015
1777,8,29,11.1,2016
1778,8,21,0.46,2016
1779,8,19,11.42,2016
1780,8,22,9.23,2016
1781,8,20,5.67,2016
1782,8,24,,2016
1783,8,25,20.94,2016
1784,8,27,0.0,2016
1785,8,28,5.68,2016
1786,8,26,0.0,2016
1787,8,23,0.64,2016
1788,8,29,11.25,2017
1789,8,21,0.5,2017
1790,8,19,11.68,2017
1791,8,22,9.17,2017
1792,8,20,5.82,2017
1793,8,24,,2017
1794,8,25,24.13,2017
1795,8,27,0.0,2017
1796,8,28,5.95,2017
1797,8,26,0.0,2017
1798,8,23,0.72,2017
1799,8,29,10.67,2018
1800,8,21,0.47,2018
1801,8,19,12.08,2018
1802,8,22,9.24,2018
1803,8,20,5.6,2018
1804,8,24,,2018
1805,8,25,24.84,2018
1806,8,27,0.0,2018
1807,8,28,9.35,2018
1808,8,26,0.0,2018
1809,8,23,0.81,2018
1810,8,29,9.0,2019
1811,8,21,0.45,2019
1812,8,19,12.07,2019
1813,8,22,9.29,2019
1814,8,20,5.58,2019
1815,8,24,,2019
1816,8,25,25.43,2019
1817,8,27,0.0,2019
1818,8,28,9.22,2019
1819,8,26,0.0,2019
1820,8,23,0.82,2019
1821,8,29,8.96,2020
1822,8,21,0.39,2020
1823,8,19,11.81,2020
1824,8,22,9.18,2020
1825,8,20,5.6,2020
1826,8,24,,2020
1827,8,25,24.38,2020
1828,8,27,0.0,2020
1829,8,28,9.04,2020
1830,8,26,0.0,2020
1831,8,23,0.81,2020
1832,8,29,8.69,2021
1833,8,21,0.44,2021
1834,8,19,12.35,2021
1835,8,22,10.75,2021
1836,8,20,5.97,2021
1837,8,24,,2021
1838,8,25,26.18,2021
1839,8,27,0.0,2021
1840,8,28,9.01,2021
1841,8,26,0.0,2021
1842,8,23,0.77,2021
1843,8,29,7.27,2022
1844,8,21,0.38,2022
1845,8,19,12.03,2022
1846,8,22,9.64,2022
1847,8,20,5.63,2022
1848,8,24,,2022
1849,8,25,26.29,2022
1850,8,27,0.0,2022
1851,8,28,9.05,2022
1852,8,26,0.0,2022
1853,8,23,0.78,2022
1854,8,29,6.76,2023
1855,8,21,0.33,2023
1856,8,19,11.46,2023
1857,8,22,9.7,2023
1858,8,20,5.2,2023
1859,8,24,,2023
1860,8,25,26.43,2023
1861,8,27,0.0,2023
1862,8,28,8.69,2023
1863,8,26,0.0,2023
1864,8,23,0.74,2023
1865,18,29,0.01,2014
1866,18,21,0.0,2014
1867,18,19,3.89,2014
1868,18,22,1.55,2014
1869,18,20,0.27,2014
1870,18,24,,2014
1871,18,25,6.86,2014
1872,18,27,0.0,2014
1873,18,28,2.73,2014
1874,18,26,0.0,2014
1875,18,23,0.09,2014
1876,18,29,0.01,2017
1877,18,21,0.0,2017
1878,18,19,4.01,2017
1879,18,22,1.74,2017
1880,18,20,0.21,2017
1881,18,24,,2017
1882,18,25,7.06,2017
1883,18,27,0.0,2017
1884,18,28,2.78,2017
1885,18,26,0.0,2017
1886,18,23,0.1,2017
1887,18,29,0.01,2018
1888,18,21,0.0,2018
1889,18,19,4.12,2018
1890,18,22,1.8,2018
1891,18,20,0.23,2018
1892,18,24,,2018
1893,18,25,7.08,2018
1894,18,27,0.0,2018
1895,18,28,2.82,2018
1896,18,26,0.0,2018
1897,18,23,0.09,2018
1898,18,29,0.01,2019
1899,18,21,0.0,2019
1900,18,19,4.12,2019
1901,18,22,1.81,2019
1902,18,20,0.25,2019
1903,18,24,,2019
1904,18,25,7.17,2019
1905,18,27,0.0,2019
1906,18,28,2.9,2019
1907,18,26,0.0,2019
1908,18,23,0.09,2019
1909,18,29,0.01,2020
1910,18,21,0.0,2020
1911,18,19,3.98,2020
1912,18,22,1.69,2020
1913,18,20,0.23,2020
1914,18,24,,2020
1915,18,25,6.25,2020
1916,18,27,0.0,2020
1917,18,28,2.9,2020
1918,18,26,0.0,2020
1919,18,23,0.1,2020
1920,17,29,0.01,2021
1921,17,21,0.0,2021
1922,17,19,4.07,2021
1923,17,22,1.87,2021
1924,17,20,0.2,2021
1925,17,24,,2021
1926,17,25,6.52,2021
1927,17,27,0.0,2021
1928,17,28,3.02,2021
1929,17,26,0.0,2021
1930,17,23,0.09,2021
1931,17,29,0.01,2022
1932,17,21,0.0,2022
1933,17,19,4.18,2022
1934,17,22,1.7,2022
1935,17,20,0.16,2022
1936,17,24,,2022
1937,17,25,6.86,2022
1938,17,27,0.0,2022
1939,17,28,3.18,2022
1940,17,26,0.0,2022
1941,17,23,0.09,2022
1942,17,29,0.0,2023
1943,17,21,0.0,2023
1944,17,19,4.26,2023
1945,17,22,1.64,2023
1946,17,20,0.1,2023
1947,17,24,,2023
1948,17,25,7.16,2023
1949,17,27,0.0,2023
1950,17,28,3.21,2023
1951,17,26,0.0,2023
1952,17,23,0.09,2023
1953,16,29,0.67,2014
1954,16,21,0.17,2014
1955,16,19,3.6,2014
1956,16,22,5.47,2014
1957,16,20,1.27,2014
1958,16,24,,2014
1959,16,25,6.59,2014
1960,16,27,0.01,2014
1961,16,28,3.62,2014
1962,16,26,0.0,2014
1963,16,23,0.07,2014
1964,16,29,0.78,2015
1965,16,21,0.17,2015
1966,16,19,3.7,2015
1967,16,22,5.3,2015
1968,16,20,1.27,2015
1969,16,24,,2015
1970,16,25,6.77,2015
1971,16,27,0.01,2015
1972,16,28,3.53,2015
1973,16,26,0.0,2015
1974,16,23,0.07,2015
1975,16,29,0.73,2016
1976,16,21,0.16,2016
1977,16,19,3.72,2016
1978,16,22,5.2,2016
1979,16,20,1.28,2016
1980,16,24,,2016
1981,16,25,7.07,2016
1982,16,27,0.01,2016
1983,16,28,3.68,2016
1984,16,26,0.0,2016
1985,16,23,0.08,2016
1986,16,29,0.63,2017
1987,16,21,0.15,2017
1988,16,19,3.84,2017
1989,16,22,5.64,2017
1990,16,20,1.26,2017
1991,16,24,,2017
1992,16,25,7.57,2017
1993,16,27,0.01,2017
1994,16,28,3.78,2017
1995,16,26,0.0,2017
1996,16,23,0.09,2017
1997,16,29,0.62,2018
1998,16,21,0.15,2018
1999,16,19,3.92,2018
2000,16,22,5.76,2018
2001,16,20,1.24,2018
2002,16,24,,2018
2003,16,25,7.88,2018
2004,16,27,0.01,2018
2005,16,28,3.7,2018
2006,16,26,0.0,2018
2007,16,23,0.17,2018
2008,16,29,0.66,2019
2009,16,21,0.15,2019
2010,16,19,3.92,2019
2011,16,22,5.63,2019
2012,16,20,1.1,2019
2013,16,24,,2019
2014,16,25,8.26,2019
2015,16,27,0.01,2019
2016,16,28,3.83,2019
2017,16,26,0.0,2019
2018,16,23,0.15,2019
2019,15,29,0.6,2020
2020,15,21,0.15,2020
2021,15,19,3.79,2020
2022,15,22,5.85,2020
2023,15,20,1.02,2020
2024,15,24,,2020
2025,15,25,7.93,2020
2026,15,27,0.02,2020
2027,15,28,3.85,2020
2028,15,26,0.0,2020
2029,15,23,0.28,2020
2030,14,29,0.73,2021
2031,14,21,0.15,2021
2032,14,19,3.96,2021
2033,14,22,6.55,2021
2034,14,20,1.04,2021
2035,14,24,,2021
2036,14,25,8.45,2021
2037,14,27,0.02,2021
2038,14,28,4.06,2021
2039,14,26,0.0,2021
2040,14,23,0.32,2021
2041,14,29,0.55,2022
2042,14,21,0.12,2022
2043,14,19,3.67,2022
2044,14,22,5.38,2022
2045,14,20,0.9,2022
2046,14,24,,2022
2047,14,25,9.0,2022
2048,14,27,0.02,2022
2049,14,28,3.94,2022
2050,14,26,0.0,2022
2051,14,23,0.33,2022
2052,13,29,0.32,2023
2053,13,21,0.06,2023
2054,13,19,3.56,2023
2055,13,22,5.0,2023
2056,13,20,0.84,2023
2057,13,24,,2023
2058,13,25,9.35,2023
2059,13,27,0.01,2023
2060,13,28,3.83,2023
2061,13,26,0.0,2023
2062,13,23,0.33,2023
2063,12,29,0.37,2014
2064,12,21,0.17,2014
2065,12,19,10.51,2014
2066,12,22,0.53,2014
2067,12,20,4.17,2014
2068,12,24,,2014
2069,12,25,7.97,2014
2070,12,27,0.01,2014
2071,12,28,7.2,2014
2072,12,26,0.0,2014
2073,12,23,0.0,2014
2074,12,29,0.39,2015
2075,12,21,0.17,2015
2076,12,19,10.74,2015
2077,12,22,0.57,2015
2078,12,20,4.19,2015
2079,12,24,,2015
2080,12,25,7.9,2015
2081,12,27,0.0,2015
2082,12,28,7.55,2015
2083,12,26,0.0,2015
2084,12,23,0.0,2015
2085,12,29,0.37,2016
2086,12,21,0.18,2016
2087,12,19,10.96,2016
2088,12,22,0.46,2016
2089,12,20,4.43,2016
2090,12,24,,2016
2091,12,25,7.62,2016
2092,12,27,0.0,2016
2093,12,28,8.0,2016
2094,12,26,0.0,2016
2095,12,23,0.0,2016
2096,12,29,0.37,2017
