,source,target,value,year
214,1,7,14.21,2022
215,3,7,32.48,2022
216,2,7,18.48,2023
217,0,7,10.23,2023
218,1,7,13.86,2023
219,3,7,32.2,2023
220,2,14,10.22,2014
221,0,14,2.89,2014
222,1,14,5.13,2014
223,3,14,4.11,2014
224,2,15,10.16,2015
225,0,15,2.74,2015
226,1,15,4.95,2015
227,3,15,4.11,2015
228,2,15,10.5,2016
229,0,15,2.89,2016
230,1,15,5.34,2016
231,3,15,4.18,2016
232,2,15,10.7,2017
233,0,15,2.96,2017
234,1,15,5.76,2017
235,3,15,4.19,2017
236,2,14,11.04,2018
237,0,14,3.08,2018
238,1,14,5.69,2018
239,3,14,4.24,2018
240,2,14,10.98,2019
241,0,14,3.02,2019
242,1,14,5.63,2019
243,3,14,4.18,2019
244,2,16,10.26,2020
245,0,16,2.78,2020
246,1,16,5.28,2020
247,3,16,3.88,2020
248,2,15,10.76,2021
249,0,15,3.08,2021
250,1,15,5.96,2021
251,3,15,4.02,2021
252,2,15,9.74,2022
253,0,15,2.97,2022
254,1,15,5.6,2022
255,3,15,3.86,2022
256,2,15,9.29,2023
257,0,15,2.9,2023
258,1,15,5.53,2023
259,3,15,3.77,2023
260,2,5,27.86,2014
261,0,5,21.62,2014
262,1,5,37.48,2014
263,3,5,45.61,2014
264,2,5,27.48,2015
265,0,5,22.35,2015
266,1,5,39.84,2015
267,3,5,46.19,2015
268,2,5,28.07,2016
269,0,5,22.02,2016
270,1,5,42.42,2016
271,3,5,46.41,2016
272,2,5,27.09,2017
273,0,5,22.62,2017
274,1,5,41.53,2017
275,3,5,46.67,2017
276,2,5,27.12,2018
277,0,5,22.45,2018
278,1,5,40.4,2018
279,3,5,45.93,2018
280,2,5,26.8,2019
281,0,5,21.92,2019
282,1,5,40.34,2019
283,3,5,45.65,2019
284,2,5,24.61,2020
285,0,5,20.69,2020
286,1,5,38.99,2020
287,3,5,38.39,2020
288,2,5,26.59,2021
289,0,5,21.62,2021
290,1,5,42.66,2021
291,3,5,43.59,2021
292,2,5,25.42,2022
293,0,5,20.66,2022
294,1,5,37.31,2022
295,3,5,45.09,2022
296,2,5,24.1,2023
297,0,5,18.93,2023
298,1,5,35.92,2023
299,3,5,44.1,2023
300,2,17,3.71,2014
301,0,17,2.11,2014
302,1,17,5.49,2014
303,3,17,3.87,2014
304,2,17,3.87,2015
305,0,17,2.2,2015
306,1,17,5.97,2015
307,3,17,4.18,2015
308,2,17,3.99,2016
309,0,17,2.18,2016
310,1,17,6.16,2016
311,3,17,4.26,2016
312,2,17,4.28,2017
313,0,17,2.15,2017
314,1,17,6.29,2017
315,3,17,4.5,2017
316,2,17,4.45,2018
317,0,17,2.1,2018
318,1,17,5.82,2018
319,3,17,4.79,2018
320,2,17,4.46,2019
321,0,17,2.05,2019
322,1,17,5.68,2019
323,3,17,5.07,2019
324,2,17,4.42,2020
325,0,17,2.0,2020
326,1,17,5.98,2020
327,3,17,4.46,2020
328,2,16,4.73,2021
329,0,16,2.07,2021
330,1,16,6.37,2021
331,3,16,4.9,2021
332,2,16,4.3,2022
333,0,16,1.91,2022
334,1,16,5.82,2022
335,3,16,5.28,2022
336,2,16,4.0,2023
337,0,16,1.64,2023
338,1,16,5.37,2023
339,3,16,4.93,2023
340,2,6,24.74,2014
341,0,6,14.67,2014
342,1,6,29.55,2014
343,3,6,37.01,2014
344,2,6,24.85,2015
345,0,6,15.39,2015
346,1,6,32.49,2015
347,3,6,36.37,2015
348,2,6,25.09,2016
349,0,6,15.44,2016
350,1,6,32.19,2016
351,3,6,35.81,2016
352,2,6,24.93,2017
353,0,6,18.24,2017
354,1,6,32.9,2017
355,3,6,34.53,2017
356,2,6,24.66,2018
357,0,6,19.0,2018
358,1,6,31.91,2018
359,3,6,35.58,2018
360,2,6,24.93,2019
361,0,6,18.19,2019
362,1,6,31.14,2019
363,3,6,35.86,2019
364,2,6,23.86,2020
365,0,6,16.56,2020
366,1,6,30.66,2020
367,3,6,28.98,2020
368,2,6,26.44,2021
369,0,6,16.81,2021
370,1,6,33.39,2021
371,3,6,34.8,2021
372,2,6,24.63,2022
373,0,6,16.14,2022
374,1,6,30.04,2022
375,3,6,36.68,2022
376,2,6,23.4,2023
377,0,6,16.6,2023
378,1,6,27.59,2023
379,3,6,37.72,2023
380,2,10,13.08,2014
381,0,10,6.5,2014
382,1,10,9.12,2014
383,3,10,9.92,2014
384,2,10,13.13,2015
385,0,10,6.83,2015
386,1,10,9.54,2015
387,3,10,9.97,2015
388,2,10,13.78,2016
389,0,10,6.85,2016
390,1,10,9.82,2016
391,3,10,9.96,2016
392,2,10,13.75,2017
393,0,10,6.96,2017
394,1,10,9.59,2017
395,3,10,10.31,2017
396,2,10,13.64,2018
397,0,10,6.91,2018
398,1,10,9.56,2018
399,3,10,10.56,2018
400,2,10,13.26,2019
401,0,10,6.7,2019
402,1,10,9.33,2019
403,3,10,10.55,2019
404,2,10,13.27,2020
405,0,10,6.38,2020
406,1,10,9.11,2020
407,3,10,8.99,2020
408,2,9,13.29,2021
409,0,9,6.67,2021
410,1,9,10.09,2021
411,3,9,9.13,2021
412,2,9,12.25,2022
413,0,9,6.3,2022
414,1,9,8.58,2022
415,3,9,9.1,2022
416,2,9,11.64,2023
417,0,9,6.15,2023
418,1,9,7.71,2023
419,3,9,9.5,2023
420,2,8,14.15,2014
421,0,8,7.79,2014
422,1,8,19.03,2014
423,3,8,15.8,2014
424,2,8,14.1,2015
425,0,8,7.84,2015
426,1,8,19.03,2015
427,3,8,16.56,2015
428,2,8,14.65,2016
429,0,8,8.5,2016
430,1,8,19.89,2016
431,3,8,18.56,2016
432,2,8,15.82,2017
433,0,8,8.04,2017
434,1,8,20.06,2017
435,3,8,21.42,2017
436,2,8,16.33,2018
437,0,8,7.93,2018
438,1,8,22.56,2018
439,3,8,22.32,2018
440,2,8,16.49,2019
441,0,8,7.81,2019
442,1,8,20.99,2019
443,3,8,22.75,2019
444,2,8,15.92,2020
445,0,8,7.56,2020
446,1,8,21.1,2020
447,3,8,21.73,2020
448,2,8,16.27,2021
449,0,8,8.39,2021
450,1,8,22.15,2021
451,3,8,23.51,2021
452,2,8,15.07,2022
